round,delta_norm,theta_norm,relative_delta,applied_change,cumulative_drift,logits_diff,pred_change,entropy,entropy_before,loss_before,loss_after,loss,nan_count,inf_count,parameter_changed,hidden_mean,hidden_std,modulation_strength
1,1.2245777249336243,13.895504707470536,0.08812761757946537,0.2938986481167376,0.2938986481167376,0.0013156677596271038,0.0,4.897723197937012,4.897624492645264,3.962071180343628,3.962073564529419,3.962073564529419,0,0,True,0.39946430921554565,8.364734649658203,0.05000000074505806
2,1.2183670401573181,13.923938054591417,0.08750161307673741,0.29240808356553316,0.5856856470927596,0.0017204307951033115,0.0006510416860692203,4.008761882781982,4.00868558883667,3.783123016357422,3.783129930496216,3.783129930496216,0,0,True,0.3984925150871277,8.347490310668945,0.05000000074505806
3,1.212601661682129,13.952120579779148,0.08691163861066083,0.291024390142411,0.8746611978858709,0.0015309650916606188,0.0,4.100034713745117,4.09997034072876,3.660618782043457,3.660625457763672,3.660625457763672,0,0,True,0.400535523891449,8.345630645751953,0.05000000074505806
4,1.2149773836135864,13.980201736092567,0.08690699938019418,0.2915945532731712,1.1618996299803257,0.0013035926967859268,0.0,4.887210845947266,4.887145042419434,4.021870136260986,4.021871089935303,4.021871089935303,0,0,True,0.3974929749965668,8.278302192687988,0.05000000074505806
5,1.2251343727111816,14.008383467793465,0.08745722699038586,0.2940322360955179,1.4482203610241413,0.0014102259883657098,0.0,4.684853553771973,4.684797286987305,3.7824926376342773,3.782491683959961,3.782491683959961,0,0,True,0.39234086871147156,8.270360946655273,0.05000000074505806
6,1.2190732955932617,14.03576697409153,0.08685476880911003,0.2925775721669197,1.7279855161905289,0.007482751738280058,0.0,2.7816200256347656,2.7815046310424805,2.6112453937530518,2.6112499237060547,2.6112499237060547,0,0,True,0.28508615493774414,5.725123882293701,0.05000000074505806
7,1.2234129905700684,14.06311471760273,0.08699445429672337,0.29361910792067647,2.0055103972554207,0.006345973815768957,0.0,3.1751372814178467,3.17503023147583,2.900594711303711,2.900607109069824,2.900607109069824,0,0,True,0.31123173236846924,6.196539402008057,0.05000000074505806
8,1.2251402735710144,14.090246945619583,0.08694952461084364,0.29403365729376674,2.279277265071869,0.01084064319729805,0.0,2.6058449745178223,2.6057045459747314,2.5675528049468994,2.567573070526123,2.567573070526123,0,0,True,0.2657713294029236,5.414632797241211,0.05000000074505806
9,1.2342318296432495,14.117715865373611,0.08742432851127414,0.2962156259454787,2.553621131926775,0.006631758529692888,0.0,3.1356825828552246,3.1355719566345215,2.8824262619018555,2.8824405670166016,2.8824405670166016,0,0,True,0.31316909193992615,6.416645050048828,0.05000000074505806
10,1.2418102025985718,14.14530947804451,0.08778953931874267,0.29803446820005774,2.827830985188484,0.007444159593433142,0.0,2.829930305480957,2.829824924468994,2.7759833335876465,2.776001453399658,2.776001453399658,0,0,True,0.3090903162956238,6.310783386230469,0.05000000074505806
